_id,kota,kecamatan,kelurahan
1,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN
2,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN
3,JAKARTA UTARA,CILINCING,CILINCING
4,JAKARTA UTARA,CILINCING,MARUNDA
5,JAKARTA UTARA,CILINCING,SEMPER BARAT
6,JAKARTA UTARA,CILINCING,SEMPER TIMUR
7,JAKARTA UTARA,CILINCING,SUKA PURA
8,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR
9,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA
10,JAKARTA UTARA,KOJA,TUGU SELATAN
11,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT
12,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA
13,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA
14,JAKARTA UTARA,PENJARINGAN,PEJAGALAN
15,JAKARTA UTARA,PENJARINGAN,PENJARINGAN
16,JAKARTA UTARA,PENJARINGAN,PLUIT
17,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIUK
18,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT
19,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR
20,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI
21,JAKARTA BARAT,CENGKARENG,KAPUK
22,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE
23,JAKARTA BARAT,CENGKARENG,RAWA BUAYA
24,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU
25,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KESUMA
26,JAKARTA BARAT,KALI DERES,SEMANAN
27,JAKARTA BARAT,KALI DERES,TEGAL ALUR
28,JAKARTA BARAT,KEBON JERUK,DURI KEPA
29,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN
30,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA
31,JAKARTA BARAT,KEMBANGAN,JOGLO
32,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN
33,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA
34,JAKARTA BARAT,TAMAN SARI,PINANGSIA
35,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT
36,JAKARTA SELATAN,CILANDAK,LEBAK BULUS
37,JAKARTA SELATAN,CILANDAK,PONDOK LABU
38,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA
39,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN
40,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR
41,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA
42,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG
43,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA
44,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT
45,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN
46,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG
47,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG
48,JAKARTA SELATAN,PANCORAN,KALIBATA
49,JAKARTA SELATAN,PANCORAN,PENGADEGAN
50,JAKARTA SELATAN,PANCORAN,RAWAJATI
51,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR
52,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG
53,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR
54,JAKARTA SELATAN,PESANGGRAHAN,BINTARO
55,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN
56,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI
57,JAKARTA SELATAN,TEBET,BUKIT DURI
58,JAKARTA SELATAN,TEBET,KEBON BARU
59,JAKARTA SELATAN,TEBET,MANGGARAI
60,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR
61,JAKARTA TIMUR,CAKUNG,PULO GEBANG
62,JAKARTA TIMUR,CAKUNG,RAWA TERATE
63,JAKARTA TIMUR,CIRACAS,CIBUBUR
64,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN
65,JAKARTA TIMUR,CIRACAS,RAMBUTAN
66,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU
67,JAKARTA TIMUR,JATINEGARA,BIDARA CINA
68,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN
69,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA
70,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU
71,JAKARTA TIMUR,KRAMAT JATI,CAWANG
72,JAKARTA TIMUR,KRAMAT JATI,CILILITAN
73,JAKARTA TIMUR,KRAMAT JATI,DUKUH
74,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI
75,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU
76,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMA
77,JAKARTA TIMUR,MAKASAR,KEBON PALA
78,JAKARTA TIMUR,MAKASAR,MAKASAR
79,JAKARTA TIMUR,MAKASAR,PINANG RANTI
80,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS
81,JAKARTA TIMUR,PASAR REBO,KALISARI
82,JAKARTA TIMUR,PASAR REBO,PEKAYON
